MB_CODE_2016,MB_CODE_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
10003820000,10003820000,1,Good,Good,0
10003830000,10003830000,1,Good,Good,0
10003840000,10003840000,1,Good,Good,0
10003850000,10003850000,1,Good,Good,0
10003860000,10003860000,1,Good,Good,0
10003871000,10003871000,1,Good,Good,0
10003872000,10003872000,1,Good,Good,0
10003873000,10003873000,1,Good,Good,0
10003880000,10003880000,1,Good,Good,0
10003890000,10003890000,1,Good,Good,0
10003900000,10003900000,1,Good,Good,0
10003911000,10003911000,1,Good,Good,0
10003912000,10003912000,1,Good,Good,0
10003913000,10003913000,1,Good,Good,0
10003920000,10003920000,1,Good,Good,0
10003930000,10003930000,1,Good,Good,0
10003940000,10003940000,1,Good,Good,0
10003950000,10003950000,1,Good,Good,0
10003961000,10003961000,1,Good,Good,0
10003962000,10003962000,1,Good,Good,0
10003963000,10003963000,1,Good,Good,0
10003970000,10003970000,1,Good,Good,0
10003981000,10003981000,1,Good,Good,0
10003982000,10003982000,1,Good,Good,0
10004000000,10004000000,1,Good,Good,0
10004010000,10004010000,1,Good,Good,0
10004020000,10004020000,1,Good,Good,0
10004030000,10004030000,1,Good,Good,0
10004040000,10004040000,1,Good,Good,0
10004050000,10004050000,1,Good,Good,0
10004061000,10004061000,1,Good,Good,0
10004062000,10004062000,1,Good,Good,0
10004063000,10004063000,1,Good,Good,0
10004064000,10004064000,1,Good,Good,0
10004065000,10004065000,1,Good,Good,0
10004066000,10004066000,1,Good,Good,0
10004067000,10004067000,1,Good,Good,0
10004070000,10004070000,1,Good,Good,0
10004081000,10004081000,1,Good,Good,0
10004082000,10004082000,1,Good,Good,0
10004083000,10004083000,1,Good,Good,0
10004084000,10004084000,1,Good,Good,0
10004085000,10004085000,1,Good,Good,0
10004091000,10004091000,1,Good,Good,0
10004092000,10004092000,1,Good,Good,0
10004100000,10004100000,1,Good,Good,0
10004110000,10004110000,1,Good,Good,0
10004120000,10004120000,1,Good,Good,0
10004130000,10004130000,1,Good,Good,0
10004140000,10004140000,1,Good,Good,0
10004150000,10004150000,1,Good,Good,0
10004160000,10004160000,1,Good,Good,0
10004181000,10004181000,1,Good,Good,0
10004182000,10004182000,1,Good,Good,0
10004183000,10004183000,1,Good,Good,0
10004190000,10004190000,1,Good,Good,0
10004220000,10004220000,1,Good,Good,0
10004230000,10004230000,1,Good,Good,0
10004241000,10004241000,1,Good,Good,0
10004242000,10004242000,1,Good,Good,0
10004243000,10004243000,1,Good,Good,0
10004251000,10004251000,1,Good,Good,0
10004252000,10004252000,1,Good,Good,0
10004261000,10004261000,1,Good,Good,0
10004262000,10004262000,1,Good,Good,0
10004271000,10004271000,1,Good,Good,0
10004272000,10004272000,1,Good,Good,0
10004273000,10004273000,1,Good,Good,0
10004281000,10004281000,1,Good,Good,0
10004282000,10004282000,1,Good,Good,0
10004290000,10004290000,1,Good,Good,0
10004301000,10004301000,1,Good,Good,0
10004302000,10004302000,1,Good,Good,0
10004303000,10004303000,1,Good,Good,0
10004304000,10004304000,1,Good,Good,0
10004305000,10004305000,1,Good,Good,0
10004306000,10004306000,1,Good,Good,0
10004310000,10004310000,1,Good,Good,0
10004320000,10004320000,1,Good,Good,0
10004340000,10004340000,1,Good,Good,0
10004350000,10004350000,1,Good,Good,0
10004360000,10004360000,1,Good,Good,0
10004370000,10004370000,1,Good,Good,0
10004380000,10004380000,1,Good,Good,0
10004390000,10004390000,1,Good,Good,0
10004400000,10004400000,1,Good,Good,0
10004410000,10004410000,1,Good,Good,0
10004420000,10004420000,1,Good,Good,0
10004431000,10004431000,1,Good,Good,0
10004432000,10004432000,1,Good,Good,0
10004440000,10004440000,1,Good,Good,0
10004451000,10004451000,1,Good,Good,0
10004452000,10004452000,1,Good,Good,0
10004453000,10004453000,1,Good,Good,0
10004454000,10004454000,1,Good,Good,0
10004455000,10004455000,1,Good,Good,0
10004456000,10004456000,1,Good,Good,0
10004457000,10004457000,1,Good,Good,0
10004458000,10004458000,1,Good,Good,0
10004461000,10004461000,1,Good,Good,0
10004462000,10004462000,1,Good,Good,0
10004470000,10004470000,1,Good,Good,0
10004480000,10004480000,1,Good,Good,0
10004490000,10004490000,1,Good,Good,0
10004500000,10004500000,1,Good,Good,0
10004510000,10004510000,1,Good,Good,0
10004520000,10004520000,1,Good,Good,0
10004550000,10004550000,1,Good,Good,0
10004560000,10004560000,1,Good,Good,0
10004570000,10004570000,1,Good,Good,0
10004580000,10004580000,1,Good,Good,0
10004590000,10004590000,1,Good,Good,0
10004602000,10004602000,1,Good,Good,0
10004603000,10004603000,1,Good,Good,0
10004620000,10004620000,1,Good,Good,0
10004630000,10004630000,1,Good,Good,0
10004640000,10004640000,1,Good,Good,0
10004650000,10004650000,1,Good,Good,0
10004660000,10004660000,1,Good,Good,0
10004670000,10004670000,1,Good,Good,0
10004680000,10004680000,1,Good,Good,0
10004690000,10004690000,1,Good,Good,0
10004700000,10004700000,1,Good,Good,0
10004710000,10004710000,1,Good,Good,0
10004740000,10004740000,1,Good,Good,0
10004750000,10004750000,1,Good,Good,0
10004760000,10004760000,1,Good,Good,0
10004770000,10004770000,1,Good,Good,0
10004781000,10004781000,1,Good,Good,0
10004782000,10004782000,1,Good,Good,0
10004790000,10004790000,1,Good,Good,0
10004800000,10004800000,1,Good,Good,0
10004810000,10004810000,1,Good,Good,0
10004830000,10004830000,1,Good,Good,0
10004840000,10004840000,1,Good,Good,0
10004851000,10004851000,1,Good,Good,0
10004852000,10004852000,1,Good,Good,0
10004860000,10004860000,1,Good,Good,0
10004870000,10004870000,1,Good,Good,0
10004880000,10004880000,1,Good,Good,0
10004890000,10004890000,1,Good,Good,0
10004900000,10004900000,1,Good,Good,0
10004910000,10004910000,1,Good,Good,0
10004930000,10004930000,1,Good,Good,0
10004940000,10004940000,1,Good,Good,0
10004950000,10004950000,1,Good,Good,0
10004960000,10004960000,1,Good,Good,0
10004971000,10004971000,1,Good,Good,0
10004972000,10004972000,1,Good,Good,0
10004980000,10004980000,1,Good,Good,0
10004990000,10004990000,1,Good,Good,0
10005000000,10005000000,1,Good,Good,0
10005010000,10005010000,1,Good,Good,0
10005020000,10005020000,1,Good,Good,0
10005040000,10005040000,1,Good,Good,0
10005050000,10005050000,1,Good,Good,0
10005060000,10005060000,1,Good,Good,0
