SA2_CODE_2021,SA2_NAME_2021,CED_CODE_2024,CED_NAME_2024,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
311031316,Hillcrest,330,Wright,0.2911093,Acceptable,Good,0
311031316,Hillcrest,327,Rankin,0.7088907,Good,Good,0
311031317,Marsden,327,Rankin,1,Good,Good,0
311031318,Munruben - Park Ridge South,330,Wright,0.3312081,Acceptable,Good,0
311031318,Munruben - Park Ridge South,312,Forde,0.6687919,Good,Good,0
311031319,Regents Park - Heritage Park,327,Rankin,1,Good,Good,0
311041322,Logan Village,312,Forde,0.2470161,Good,Good,0
311041322,Logan Village,330,Wright,0.7529839,Acceptable,Good,0
311041567,Flagstone (East) - Riverbend,330,Wright,1,Acceptable,Good,0
311041568,Flagstone (West) - New Beith,330,Wright,1,Acceptable,Good,0
311041569,Greenbank - North Maclean,312,Forde,0.0313993,Good,Good,0
311041569,Greenbank - North Maclean,330,Wright,0.9686007,Acceptable,Good,0
311041570,Jimboomba - Glenlogan,330,Wright,1,Acceptable,Good,0
311041571,Yarrabilba,330,Wright,1,Acceptable,Good,0
311051323,Bethania - Waterford,312,Forde,1,Good,Good,0
311051324,Cornubia - Carbrook,312,Forde,1,Good,Good,0
311051325,Loganholme - Tanah Merah,312,Forde,1,Good,Good,0
311051326,Loganlea,327,Rankin,0.1044993,Good,Good,0
311051326,Loganlea,312,Forde,0.8955007,Good,Good,0
311051327,Shailer Park,312,Forde,1,Good,Good,0
311051328,Waterford West,312,Forde,1,Good,Good,0
311061329,Daisy Hill,327,Rankin,1,Good,Good,0
311061330,Kingston (Qld),327,Rankin,1,Good,Good,0
311061331,Logan Central,327,Rankin,1,Good,Good,0
311061332,Rochedale South - Priestdale,327,Rankin,1,Good,Good,0
311061333,Slacks Creek,327,Rankin,1,Good,Good,0
311061334,Springwood,327,Rankin,1,Good,Good,0
311061335,Underwood,327,Rankin,1,Good,Good,0
311061336,Woodridge,327,Rankin,1,Good,Good,0
312011337,Bowen,306,Dawson,1,Good,Good,0
312011338,Broadsound - Nebo,305,Capricornia,1,Good,Good,0
312011339,Clermont,305,Capricornia,1,Good,Good,0
312011340,Collinsville,306,Dawson,0.452223,Good,Good,0
312011340,Collinsville,305,Capricornia,0.547777,Good,Good,0
312011341,Moranbah,305,Capricornia,1,Good,Good,0
312021342,Andergrove - Beaconsfield,306,Dawson,1,Good,Good,0
312021343,East Mackay,306,Dawson,1,Good,Good,0
312021344,Eimeo - Rural View,306,Dawson,1,Good,Good,0
312021345,Eungella Hinterland,305,Capricornia,1,Good,Good,0
312021346,Mackay,306,Dawson,1,Good,Good,0
312021347,Mackay Harbour,306,Dawson,1,Good,Good,0
312021348,Mount Pleasant - Glenella,306,Dawson,1,Good,Good,0
312021349,North Mackay,306,Dawson,1,Good,Good,0
312021350,Ooralea - Bakers Creek,306,Dawson,0.0778458,Good,Good,0
312021350,Ooralea - Bakers Creek,305,Capricornia,0.9221542,Good,Good,0
312021351,Pioneer Valley,305,Capricornia,1,Good,Good,0
312021352,Sarina,305,Capricornia,1,Good,Good,0
312021353,Seaforth - Calen,306,Dawson,1,Good,Good,0
312021354,Shoal Point - Bucasia,306,Dawson,1,Good,Good,0
312021355,Slade Point,306,Dawson,1,Good,Good,0
312021356,South Mackay,306,Dawson,1,Good,Good,0
312021357,Walkerston - Eton,305,Capricornia,1,Good,Good,0
312021358,West Mackay,306,Dawson,1,Good,Good,0
312031359,Airlie - Whitsundays,306,Dawson,1,Good,Good,0
312031360,Cape Conway,306,Dawson,1,Good,Good,0
312031361,Proserpine,306,Dawson,1,Good,Good,0
313011362,Beachmere - Sandstone Point,320,Longman,1,Good,Good,0
313011363,Bribie Island,320,Longman,1,Good,Good,0
313021364,Burpengary - East,320,Longman,1,Good,Good,0
313021366,Caboolture - South,320,Longman,1,Good,Good,0
313021367,Elimbah,320,Longman,1,Good,Good,0
313021368,Morayfield - East,320,Longman,1,Good,Good,0
313021369,Wamuran,320,Longman,1,Good,Good,0
313021572,Caboolture - East,320,Longman,1,Good,Good,0
313021573,Caboolture - West,320,Longman,1,Good,Good,0
313031370,Kilcoy,301,Blair,1,Good,Good,0
313031371,Woodford - D'Aguilar,320,Longman,1,Good,Good,0
313041372,Burpengary,320,Longman,1,Good,Good,0
313041373,Deception Bay,326,Petrie,1,Good,Good,0
313041374,Morayfield,320,Longman,1,Good,Good,0
313041375,Narangba,320,Longman,1,Good,Good,0
313041376,Upper Caboolture,320,Longman,1,Good,Good,0
313051377,Clontarf,326,Petrie,1,Good,Good,0
313051378,Margate - Woody Point,326,Petrie,1,Good,Good,0
313051379,Redcliffe,326,Petrie,1,Good,Good,0
313051380,Rothwell - Kippa-Ring,326,Petrie,1,Good,Good,0
313051574,Moreton Island,302,Bonner,1,Good,Good,0
313051575,Scarborough - Newport,326,Petrie,1,Good,Good,0
314011382,Albany Creek,307,Dickson,1,Good,Good,0
314011383,Cashmere,307,Dickson,1,Good,Good,0
314011384,Dayboro,307,Dickson,1,Good,Good,0
314011385,Eatons Hill,307,Dickson,1,Good,Good,0
314011386,The Hills District,307,Dickson,1,Good,Good,0
314011387,Samford Valley,307,Dickson,1,Good,Good,0
314021389,Murrumba Downs - Griffin,307,Dickson,0.4678629,Good,Good,0
314021389,Murrumba Downs - Griffin,326,Petrie,0.5321371,Good,Good,0
314021576,Dakabin,320,Longman,1,Good,Good,0
314021577,Kallangur,320,Longman,0.40467,Good,Good,0
314021577,Kallangur,307,Dickson,0.59533,Good,Good,0
314021578,Mango Hill,326,Petrie,1,Good,Good,0
314021579,North Lakes,326,Petrie,1,Good,Good,0
314031391,Bray Park,307,Dickson,1,Good,Good,0
314031392,Lawnton,307,Dickson,1,Good,Good,0
314031393,Petrie,307,Dickson,1,Good,Good,0
314031394,Strathpine - Brendale,307,Dickson,1,Good,Good,0
315011395,Aurukun,318,Leichhardt,1,Good,Good,0
315011396,Cape York,318,Leichhardt,1,Good,Good,0
315011397,Croydon - Etheridge,317,Kennedy,1,Good,Good,0
315011398,Kowanyama - Pormpuraaw,318,Leichhardt,1,Good,Good,0
